SKU CODE,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb
 36-0022,,,,,,,
 99-5381,,,,,,,
 35-0089,8,12,32,8,8,4,8
 36-0023,12,18,24,12,,,
 99-5545,,,,,,,
 10-6685-2,,,,,,,1
 99-5442,,4,,,,,
 99-5542,,,,,,,
 35-0082,,,1,1,,,
 09-9901,,,,,,,
 10-0000-0058,,,0,0,,,
 10-0000-0125,1,1,1,2,2,,1
 10-4197,,,,,,,
 35-0061,,,1,1,,,
 99-5607,,,,,,,
 99-5523,,,,,,,
 99-5524,,,,,,,
 58-2208,,,,,,,
 58-3708,,,,,,,
 58-5308,,,,,,,
 58-3208,,,,,,,
 08-3208,,,,,,,
 08-2208,,,,,,,
 08-3708,7,3,,2,,,
 08-4602,,,,,,,
 08-5308,,,,,,,
 08-5450,,4,,,,,
 08-6608,,,,1,,1,
 08-8708,,,,,,,
 20-6500,2,,,,,,
 80-6500,,,,,,,
 08-4408,,,,,,,
 58-4408,,,,,,,
 99-7005,,,,,,,
 99-5451-1,,2,,,,,
 16-3613-04,,1,,,,,
 16-3616-3,,3,,,,,
 16-3618,,8,12,,,,
 99-5417,,,,,,,
 99-5563,,,,,,,
 99-5303,,,,,,,
 35-0067,,,,,,,
 99-5552,,,,,,,
 20-6236,1,,,,,,
 80-6236,,,,,,,
 99-5403,,,,,,,
 15-0000-9900-01,,2,2,,,,
 15-0000-9900-02,,4,4,,,,
 15-0000-9900-03,,4,4,,,,
 15-0000-9900-04,,2,2,,,,
 35-0051,8,11,2,,1,5,2
 43-5600,,,,,,,
 35-0054,3,3,8,2,4,2,4
 99-5453,,,,,,,
 99-5454,,2,,,,,
 99-5455,,,,,,,
 99-5456,,,,,,,
 99-5460,,2,,,,,
 99-5461,,2,,,,,
 99-5462,,2,,,,,
 99-5471,,2,,,,,
 99-5473,,2,,,,,
 99-5474,,2,,,,,
 99-5475,,4,,,,,
 99-5476,,4,,,,,
 99-5478,,4,,,,,
 99-5479,,2,,,,,
 99-5371,,,,,,,
 20-6241,2,,,,,,
 98-5401,,,,,,,
 98-5402,,,,,,,
 99-5518,,,,,,,
 99-5519,,,,,,,
 99-5556,,,,,,,
 99-5528,,,,,,,
 20-6231,2,,,,,,
 80-6231,,,,,,,
 16-1652,,2,2,,,,
 16-1652-0525,,2,4,,,,
 16-1654,,,,,,,
 16-1694,,,,,,,
 16-5001-01,,1,,,,,
 16-5002-01,,,,,,,
 16-5152,,,2,,,,
 16-5165,,,,,,,
 16-5692,,1,,,,,
 36-0010,1,1,1,1,,,
 36-0011,1,1,1,1,,,
 08-3860,2,,,,,,2
 58-3860,,,,,,,
 80-6870,,,,,,,
